,Exited
9626,0
9220,1
2919,0
15451,1
6777,0
7532,0
6376,1
3756,0
6858,0
1502,0
12977,1
8391,0
523,0
12422,1
6896,0
9596,0
15822,1
10207,1
1598,1
14314,1
10874,1
15293,1
3905,0
9628,0
14238,1
8672,0
2211,0
901,0
9953,0
2510,0
7392,0
6918,0
7557,0
12266,1
7072,0
883,1
939,0
2602,0
6806,0
10562,1
342,0
3337,1
1576,0
1631,1
4664,0
551,1
2408,0
13558,1
265,0
12814,1
2430,1
2857,0
5044,0
3620,0
6331,0
4885,0
2342,0
10690,1
11964,1
15595,1
4092,0
9429,0
6708,0
11078,1
11728,1
7891,0
2402,0
14806,1
6019,0
59,0
15733,1
8002,0
7889,0
5842,0
14584,1
8115,0
13950,1
619,0
12725,1
942,1
50,0
1449,0
13548,1
5218,0
14952,1
5494,1
7643,0
9644,0
8865,0
853,0
15187,1
4257,0
7367,0
15755,1
3822,0
14777,1
6753,0
1531,0
5929,0
14358,1
12368,1
7981,0
11650,1
4678,0
1834,0
13078,1
14114,1
223,1
7238,1
12038,1
10601,1
15253,1
3261,0
5039,0
10809,1
11320,1
3468,0
7108,0
2441,0
2718,0
3500,0
1172,0
6706,0
735,0
12354,1
7664,0
12317,1
8970,0
5592,0
12958,1
148,0
4502,1
15080,1
13785,1
2375,0
12668,1
9006,0
8487,0
6775,1
14743,1
9792,0
5607,0
13032,1
12116,1
1765,0
4026,1
8207,0
7848,0
1679,0
9431,0
10804,1
12873,1
5716,0
547,0
4375,0
7930,0
9934,1
2741,0
10707,1
7370,0
11744,1
6894,0
9388,0
13372,1
5565,0
13190,1
7430,0
7996,0
4642,0
12626,1
8063,0
12395,1
219,1
3902,1
1693,0
15084,1
10344,1
12100,1
2498,0
9855,0
12128,1
333,1
9572,1
15817,1
3442,0
10906,1
27,0
8201,0
15746,1
4403,1
6187,0
10847,1
5987,0
8609,0
3613,0
1318,1
13015,1
6416,0
12189,1
1571,0
8242,1
11401,1
4773,0
9344,0
493,1
7956,0
1500,1
11195,1
13881,1
9443,1
11034,1
9528,0
11278,1
2324,0
454,0
11207,1
3189,0
14536,1
10535,1
5918,0
4341,0
10901,1
5056,0
11500,1
2793,0
209,0
7865,0
13110,1
7049,1
5678,0
5541,0
7320,0
14998,1
7147,0
2601,0
8017,0
10423,1
7908,0
5190,0
14071,1
6671,0
1402,0
11201,1
385,0
12482,1
15664,1
3724,1
15551,1
14302,1
5941,0
10684,1
10312,1
10672,1
7394,0
1713,0
7723,0
4752,0
10021,1
13891,1
5846,0
15338,1
9503,0
11446,1
2001,0
14732,1
9196,0
6747,0
15774,1
13811,1
10869,1
6441,0
5599,1
13222,1
4516,1
12248,1
10821,1
13472,1
12493,1
6296,0
11373,1
13076,1
1231,0
6875,1
5745,0
5618,0
11549,1
9172,0
11186,1
10875,1
4749,0
11265,1
11051,1
8960,1
12995,1
985,0
8541,0
4902,0
4799,1
2312,1
4632,0
2475,0
3958,0
9812,0
2477,1
7597,0
2332,0
11006,1
834,0
8321,0
7844,0
5312,0
10624,1
14099,1
4782,0
12445,1
1300,0
12204,1
206,1
12638,1
6969,0
1771,0
10182,1
15372,1
7134,0
8498,0
396,0
14755,1
1890,0
14615,1
2140,0
6880,0
9359,1
13745,1
3153,0
768,0
3936,0
12613,1
6340,0
3683,1
2772,0
5526,0
829,0
12319,1
7503,0
15570,1
488,0
14493,1
1453,0
4053,0
6000,1
8812,0
6778,0
8861,0
1921,1
12914,1
6212,0
6915,0
12311,1
15076,1
9020,0
8555,0
421,0
8244,0
11347,1
12531,1
8765,0
6888,0
14589,1
15147,1
104,1
14046,1
10694,1
14930,1
10296,1
4368,0
14153,1
30,1
15557,1
673,0
3360,0
6183,0
865,0
6823,1
14274,1
9010,1
2844,0
4410,0
2903,0
11103,1
13896,1
15566,1
1549,1
8146,0
9973,0
15868,1
6018,0
14253,1
4423,0
11170,1
7680,0
2374,0
13904,1
5961,0
10590,1
9233,0
5270,0
1956,1
4273,0
5427,0
8699,0
6104,1
559,0
8384,0
4245,0
13443,1
15109,1
7636,1
2415,0
2805,1
13582,1
5574,0
9738,1
9224,0
9890,0
5114,1
15877,1
2258,0
524,0
10417,1
14669,1
15534,1
8854,0
4937,0
15212,1
8393,1
5099,1
14140,1
1534,1
10771,1
9175,0
11030,1
5068,0
725,0
2819,0
10033,1
445,0
8213,0
8616,0
3298,0
3063,0
11510,1
12665,1
14749,1
6642,0
3122,0
8903,0
11248,1
11236,1
7598,1
11879,1
10002,1
8219,0
4338,0
6771,0
8573,0
15113,1
2607,0
4636,0
4401,0
14499,1
11033,1
14207,1
3788,0
10577,1
2202,0
13127,1
6702,1
2958,0
2286,0
10655,1
12595,1
11101,1
15633,1
8474,0
1859,0
6402,0
11695,1
11098,1
13808,1
2280,0
13596,1
9747,1
2553,1
10614,1
12372,1
8125,0
15917,1
10007,1
6255,1
4604,0
15263,1
4248,0
5341,0
13840,1
11589,1
11169,1
9718,1
9057,0
2664,0
13161,1
1460,0
456,0
3296,0
5788,1
11306,1
8252,0
311,0
7019,0
12699,1
11237,1
6460,0
13629,1
5185,1
8316,0
13963,1
3362,0
2826,0
9028,0
14764,1
1335,1
4320,0
361,1
2804,0
8598,0
10275,1
8475,1
9184,0
2167,0
14641,1
7705,1
5870,0
15634,1
11896,1
3690,0
5416,0
11646,1
10644,1
6749,0
4680,0
5113,0
5100,0
13361,1
14292,1
11202,1
4982,0
3606,0
14575,1
11667,1
13836,1
4300,0
9264,0
6098,0
12414,1
7204,0
8399,0
87,0
5489,0
4412,0
9123,0
10073,1
8947,0
2429,0
1658,0
2421,0
12679,1
15720,1
3281,0
3605,0
7872,0
1383,0
5428,0
10769,1
14498,1
15419,1
4418,0
7642,0
8320,0
1445,0
13031,1
14703,1
5271,1
8181,0
14246,1
11871,1
7102,0
348,0
10285,1
5287,0
3109,1
8980,0
14680,1
6670,0
11725,1
1762,0
7336,0
12376,1
6976,0
5451,0
4894,0
15456,1
9570,0
5676,0
7484,0
11542,1
3276,0
1119,0
7881,0
4260,1
10967,1
1348,0
13589,1
3776,0
302,0
2850,0
2073,0
7288,0
4306,0
6824,0
15869,1
9936,0
7360,0
11307,1
10728,1
2925,0
6965,0
9963,0
5907,0
12886,1
11697,1
12296,1
39,0
2956,0
12755,1
4712,1
6199,0
12989,1
3530,1
4504,0
15684,1
7566,1
3389,1
11002,1
10787,1
5735,0
12740,1
13609,1
8048,0
13254,1
4511,1
15098,1
13970,1
3612,0
13942,1
10635,1
6274,1
6774,1
11864,1
9424,0
13730,1
12999,1
8839,0
7131,0
11925,1
12105,1
13827,1
10580,1
10214,1
1756,0
10503,1
4753,0
2207,0
435,0
10032,1
11057,1
13364,1
13604,1
12498,1
5843,0
6077,0
9110,0
5095,0
2296,1
11281,1
10066,1
1644,0
568,0
10454,1
3937,0
6789,0
10927,1
4011,0
1743,0
4399,1
5935,0
8821,0
14542,1
3898,1
2413,0
13537,1
8667,0
6386,1
4638,0
5970,0
419,0
6454,0
12878,1
4540,0
2672,0
1961,0
6205,1
10057,1
12332,1
6054,1
824,0
6243,0
5462,0
8338,0
13156,1
7248,1
4187,0
15688,1
12822,1
13918,1
13276,1
5672,0
1676,1
11759,1
11862,1
1496,0
2898,1
7989,0
7672,0
11890,1
9800,1
15216,1
10873,1
116,0
9974,0
928,0
13987,1
9149,0
10852,1
8766,0
4091,0
9670,0
3934,0
792,0
8128,0
3031,0
6257,0
5631,0
11396,1
11663,1
9956,1
12939,1
9588,0
58,1
9411,1
3696,0
2677,0
14950,1
2173,0
2514,0
13880,1
11881,1
846,0
84,0
10136,1
14525,1
1455,0
6830,0
8512,0
11507,1
3279,0
5471,1
10714,1
13166,1
11664,1
2337,0
3567,0
2380,0
4449,0
4447,1
9290,0
11194,1
7153,0
107,0
7529,0
2114,0
6468,0
8780,1
5921,0
12329,1
3440,1
6298,1
3388,0
7166,0
15600,1
11953,1
3155,0
11257,1
1457,0
565,0
241,0
7554,1
2383,0
4227,0
12132,1
13447,1
11168,1
8666,0
14640,1
5222,0
11234,1
4487,0
2778,0
6246,1
6600,1
6540,0
12746,1
2807,0
10511,1
8312,0
541,0
4207,0
3745,0
6966,0
5663,0
7269,1
32,0
13319,1
3407,0
13165,1
5251,0
10370,1
4653,1
1582,0
363,0
6397,0
2947,0
12783,1
9595,0
2484,0
13448,1
14262,1
7656,0
7874,0
15390,1
12024,1
5920,0
5503,0
1957,1
8643,0
8279,0
4017,1
8223,0
12841,1
3220,0
2346,1
5141,0
271,1
10579,1
10925,1
14865,1
7781,0
11859,1
1670,1
6429,0
832,0
10080,1
11073,1
15070,1
7933,0
15023,1
8539,0
13523,1
3226,0
3888,0
6599,1
7076,0
7434,0
4698,0
698,0
11821,1
1270,0
6897,1
15235,1
11794,1
14301,1
4845,0
14094,1
13263,1
1940,1
11544,1
11393,1
7379,0
2579,1
1591,0
15714,1
2264,0
10657,1
10882,1
15876,1
550,0
5570,1
7740,1
5142,0
5792,0
11261,1
14457,1
11578,1
1633,0
11352,1
6794,0
4230,0
14286,1
10950,1
10966,1
2817,0
11241,1
8706,1
5382,0
4899,1
4013,1
2241,1
8275,0
4172,0
10885,1
3781,0
11575,1
12897,1
10572,1
4704,0
15286,1
13708,1
3141,1
5472,0
5670,0
8089,0
15039,1
5305,0
13706,1
1351,1
12680,1
15880,1
8781,0
234,0
12654,1
9420,0
12196,1
13035,1
15180,1
8877,0
14399,1
2673,0
12061,1
4652,0
6559,0
14845,1
8742,0
6873,0
5554,0
11417,1
4043,0
10677,1
3467,0
2223,0
13994,1
2391,0
13288,1
8676,0
6451,0
4325,0
9038,1
9386,0
13452,1
15480,1
8375,0
11457,1
2951,1
12294,1
6410,0
12474,1
7810,0
6087,1
8209,0
13045,1
1016,0
7098,1
4132,0
12554,1
15079,1
2878,0
3735,0
7381,1
14613,1
859,1
9308,0
5457,0
11735,1
10652,1
12480,1
6992,1
13424,1
6534,0
12393,1
12384,1
15057,1
9518,0
1567,1
7457,1
992,0
993,0
9325,0
8142,0
6743,1
1908,0
9681,0
2462,1
393,1
6288,0
4126,0
10026,1
15105,1
12025,1
4185,0
5960,1
11975,1
15407,1
13193,1
499,1
2395,1
2366,0
1724,0
2542,1
9336,0
10877,1
5121,0
11809,1
5774,0
3557,0
14461,1
10164,1
12443,1
2823,0
5288,0
15770,1
416,1
7265,0
1045,0
3,0
13481,1
1201,1
11255,1
8291,0
4145,0
1104,0
1981,0
1551,0
14200,1
8438,1
14856,1
1842,0
6043,0
11111,1
14882,1
10169,1
15796,1
7683,0
13790,1
15630,1
8818,0
13251,1
9948,0
5855,1
11367,1
767,1
12455,1
9307,0
5978,0
12391,1
8927,0
10442,1
9460,0
625,0
7707,0
2442,0
4733,0
331,0
14359,1
12987,1
8968,0
6057,0
10023,1
13764,1
418,0
13644,1
7655,0
3004,0
7629,1
5825,1
9375,1
7233,0
11800,1
14470,1
10953,1
5697,0
8174,0
8517,0
1213,0
505,0
4307,0
6895,1
15044,1
10605,1
3778,0
14638,1
4592,1
9309,0
14151,1
5467,0
2115,1
9629,0
12423,1
9179,0
6843,0
6035,0
10446,1
1823,1
6934,0
6406,0
10473,1
4742,0
13593,1
4201,0
8782,0
8397,1
15426,1
2232,0
13109,1
2132,1
11966,1
9573,0
7863,0
15350,1
13286,1
10941,1
5206,0
14742,1
6815,0
15090,1
9406,0
11438,1
5401,0
3688,0
2960,0
11463,1
11732,1
11873,1
9027,0
8802,0
8237,0
7112,0
4162,0
9453,0
9734,0
5648,0
7614,0
4004,0
48,0
3463,1
6518,1
645,1
13188,1
12758,1
2533,0
10213,1
10616,1
1113,1
2630,0
659,0
1843,0
9287,0
2215,0
14323,1
7441,0
6607,0
12159,1
14241,1
15605,1
10705,1
1507,0
7105,0
3293,0
9059,0
4047,0
772,0
424,0
2635,0
7960,0
8989,0
6651,0
8529,0
5509,0
14863,1
15072,1
3430,0
1099,0
10611,1
12141,1
12853,1
1866,0
14245,1
12325,1
12178,1
1394,0
11935,1
5732,0
529,0
1473,0
7177,0
5748,0
1224,0
4058,0
2678,0
715,0
15353,1
1546,0
12463,1
9107,0
7018,1
14147,1
12104,1
4992,1
257,0
14820,1
1989,0
13787,1
8077,0
11443,1
14980,1
3007,1
15460,1
14651,1
10523,1
10394,1
6409,0
11149,1
5506,0
13518,1
771,0
8247,0
9740,0
15852,1
5612,0
479,0
10054,1
1260,1
1655,0
1177,0
5944,0
11557,1
1541,0
10990,1
4623,0
4266,1
1084,0
7408,0
115,0
13846,1
9049,0
7277,0
5403,0
5497,0
15245,1
7209,1
15745,1
14220,1
12171,1
594,0
3943,0
10806,1
7402,0
9261,0
15013,1
14970,1
3015,0
6072,0
212,0
2927,0
6575,1
12906,1
2561,0
5615,0
4958,0
9517,0
13007,1
13389,1
15066,1
13077,1
2511,0
1595,0
11326,1
7540,0
1611,1
11743,1
4255,0
5159,0
3674,0
10008,1
6151,0
10935,1
6278,0
8862,1
15673,1
1326,0
12839,1
6511,1
11232,1
11599,1
9080,0
40,0
2745,0
9872,0
14994,1
6008,0
1581,0
5659,1
11807,1
5215,1
3086,0
15392,1
15612,1
6048,0
13438,1
9482,1
10119,1
5366,0
10491,1
5226,0
5729,0
14401,1
11897,1
10965,1
1356,0
247,0
7562,0
3876,0
10647,1
15021,1
13872,1
11924,1
14842,1
4966,0
6487,0
3967,0
7637,0
13129,1
4875,0
6797,0
7569,0
4002,0
6517,0
13446,1
4993,0
11164,1
15179,1
14013,1
13247,1
2763,0
2572,0
11154,1
5306,1
3782,1
15790,1
15734,1
15314,1
5400,0
8746,0
5101,0
13042,1
9198,0
12738,1
9254,0
7469,0
10585,1
13241,1
7986,0
12614,1
415,0
7044,0
8324,0
14940,1
9464,0
15448,1
10734,1
1746,1
13678,1
8358,1
8094,0
1604,0
9830,0
3859,0
14699,1
6987,0
5051,0
14061,1
7310,1
13371,1
5572,0
2877,0
1371,0
13922,1
5812,0
10425,1
15753,1
3623,0
5701,1
15322,1
4098,0
2992,0
12139,1
15561,1
13615,1
9643,0
15608,1
6866,0
3242,0
3494,0
1173,0
1358,0
1360,0
13525,1
4434,0
164,1
5837,0
9320,0
11225,1
4635,0
9778,0
5703,0
13441,1
7947,0
112,0
1296,0
10789,1
12297,1
3366,0
13723,1
518,1
9794,0
10685,1
3288,0
9316,1
709,0
10042,1
14697,1
5758,1
10153,1
7599,1
1558,0
11689,1
4226,0
647,0
7882,1
3224,1
12925,1
972,0
9445,1
5304,0
3064,0
7696,1
12875,1
7016,0
3373,0
7560,0
9348,0
10140,1
8505,0
5910,0
8470,0
9527,1
3912,0
13786,1
10006,1
6892,1
5736,0
12593,1
11584,1
11429,1
15558,1
10049,1
888,0
5491,1
8760,0
10115,1
3655,0
9124,0
7273,0
1029,0
4028,0
8249,0
13494,1
12373,1
14851,1
15780,1
4044,0
6630,0
7015,0
9779,0
6767,0
9231,0
8046,0
1462,1
3245,1
11413,1
9904,0
13860,1
15287,1
5980,0
7694,0
8949,0
3142,0
2707,0
1365,1
5404,0
7732,0
8725,0
9602,1
1568,0
6081,1
13426,1
6254,0
6557,0
10143,1
11276,1
11830,1
1967,0
5897,0
13858,1
8215,1
10826,1
13499,1
10431,1
2604,0
2946,0
5093,1
339,1
13333,1
5813,0
6289,1
15597,1
3426,0
4066,0
12703,1
6751,1
15211,1
11669,1
5620,0
1945,1
15511,1
11522,1
15386,1
3110,1
5102,0
13309,1
14759,1
11439,1
14384,1
11088,1
2786,1
14564,1
3554,0
3523,0
4392,0
2417,0
4809,0
15188,1
3933,0
3744,1
14423,1
15922,1
5674,0
5939,0
11572,1
3753,0
5725,0
7409,0
9199,1
1091,0
578,0
4301,0
7164,0
9924,1
12854,1
13711,1
9134,0
11799,1
5347,1
9750,1
15537,1
9811,0
9291,0
14827,1
6195,0
1873,0
6780,0
3040,0
13742,1
12667,1
5899,0
6092,0
743,1
14747,1
7502,1
12043,1
13907,1
9996,0
13718,1
9381,0
796,0
983,1
4654,1
8983,0
10892,1
12573,1
13125,1
4416,0
9743,0
7836,0
8178,0
8682,0
9319,0
8065,1
11982,1
1440,1
4121,0
14230,1
10196,1
2886,0
5243,1
6977,0
4690,0
616,0
4342,1
5598,0
14452,1
6532,0
14793,1
5932,0
11784,1
12079,1
5718,0
3114,1
12606,1
7207,0
8767,0
2251,0
7588,0
14966,1
3878,0
260,0
5496,0
13509,1
4114,1
10142,1
8556,0
4986,0
6004,0
11416,1
3090,1
8414,0
1439,0
8385,0
11512,1
8772,0
5131,0
8549,0
7625,0
2226,0
9891,0
11984,1
4007,0
13111,1
10764,1
13543,1
9853,0
10290,1
6404,1
6627,1
10660,1
9515,0
2610,0
7990,0
15019,1
1529,0
4950,0
15837,1
15283,1
11080,1
14491,1
3754,0
15200,1
5763,0
6063,0
2217,0
3793,1
4198,1
3046,1
5424,1
4164,0
7662,1
11854,1
818,0
9999,0
11013,1
10065,1
5520,0
6027,0
9273,0
8026,0
4686,1
1974,0
4261,0
12123,1
15472,1
5628,0
3809,0
12249,1
3711,1
13118,1
4269,0
15651,1
6297,0
8652,0
13433,1
1426,0
4553,0
5202,1
12778,1
6654,0
3370,1
8218,0
2704,0
114,1
6149,0
5802,0
8741,0
9826,0
2996,0
3449,0
15772,1
5666,1
7017,1
4763,0
11341,1
10883,1
2106,1
986,0
750,0
2920,0
11960,1
11090,1
10795,1
11486,1
15363,1
12506,1
5026,0
2710,0
8914,0
15816,1
13267,1
651,0
13390,1
15758,1
1983,0
14299,1
12118,1
1395,0
7027,0
9645,0
6700,0
5082,1
1102,0
8788,0
4800,0
2453,0
5426,0
11932,1
5006,0
8789,0
13232,1
2238,0
1014,0
11246,1
13181,1
4037,1
11792,1
7340,0
15049,1
8684,0
11324,1
2512,0
9436,0
4250,0
1116,0
653,1
3460,0
168,1
8454,0
10504,1
7224,0
5331,1
3816,0
3478,0
2506,0
9920,1
2979,0
8261,0
10721,1
13717,1
9868,0
5172,0
13569,1
9930,0
7010,0
9748,1
807,0
1267,0
15041,1
9297,0
14271,1
2055,0
6699,0
7104,0
2472,0
11903,1
4727,0
4471,1
3322,0
3018,0
6544,0
8016,0
15266,1
9162,1
11723,1
7472,0
7579,0
11271,1
12650,1
10558,1
11856,1
1306,1
3823,0
6232,1
15400,1
3097,0
4780,0
8656,0
14974,1
1073,0
5720,0
8256,0
15766,1
8999,0
705,1
1190,0
1143,0
13618,1
4515,0
3841,1
801,0
14868,1
9283,0
1443,1
4170,0
8683,1
2598,0
10862,1
15251,1
8376,1
6750,1
14618,1
573,1
3172,0
3941,1
3234,1
12810,1
508,0
6465,0
4452,1
8083,0
9306,0
2722,0
3677,0
10980,1
4176,0
15847,1
15227,1
10591,1
13289,1
14629,1
15614,1
13410,1
1817,0
13298,1
14363,1
1247,0
6579,0
3459,0
7313,0
12305,1
7859,0
11258,1
5546,0
13001,1
5281,0
5527,0
14981,1
7023,0
4552,0
11991,1
4184,1
2098,1
14222,1
10530,1
10932,1
8972,0
4033,1
785,0
8518,1
8314,0
5604,0
6170,0
8411,0
13406,1
6655,0
2031,0
1463,0
8331,0
3909,0
5793,0
15306,1
1376,1
5762,0
5450,0
4578,0
9000,0
15482,1
369,0
12133,1
4787,0
15153,1
11713,1
8147,1
12477,1
14625,1
15437,1
13885,1
3763,1
10962,1
5784,0
13098,1
1386,0
1235,0
15414,1
9173,1
484,1
9710,0
12861,1
11777,1
1684,0
9695,0
15017,1
15504,1
6981,1
13085,1
4089,0
124,0
4498,0
13953,1
2969,0
11772,1
2899,0
6392,0
5319,0
3379,0
6882,0
14216,1
1018,1
3731,1
4386,0
7744,0
6003,0
14948,1
6159,1
10428,1
7951,0
13679,1
12268,1
3227,0
10086,1
380,0
14133,1
13539,1
318,0
15825,1
4030,0
5474,0
905,1
4874,0
15404,1
7398,1
1563,0
252,0
5584,0
5284,0
347,0
9468,0
7977,0
11971,1
14573,1
13250,1
1804,0
8072,1
4389,0
12210,1
15834,1
6496,1
9136,0
12241,1
11733,1
11796,1
4683,0
6450,0
6989,0
1752,0
14879,1
2290,0
5128,0
9096,0
6864,1
13579,1
14912,1
11203,1
10607,1
3663,1
10103,1
979,0
15573,1
11208,1
10741,1
3369,0
2848,0
9960,1
3838,1
15593,1
4050,0
5571,1
0,1
1425,0
4488,0
9509,0
6893,0
6902,0
6422,0
8156,0
13237,1
9921,0
457,0
13865,1
2437,0
14847,1
15752,1
14194,1
2427,1
10487,1
8068,0
6258,0
10986,1
4123,0
4213,0
4490,0
5028,1
5830,0
849,0
8118,0
11334,1
9247,0
2144,0
7165,1
4741,1
10427,1
14326,1
3149,0
678,0
7961,0
5402,0
8908,0
9534,0
13728,1
3800,0
8592,0
8669,0
11313,1
8504,1
3067,0
2796,0
4513,0
2218,0
3290,0
10750,1
14595,1
12558,1
1279,0
5602,0
14310,1
4035,0
4360,0
2897,0
12991,1
3232,0
4364,0
6385,0
12635,1
2138,0
7563,0
2696,0
14977,1
1253,0
4065,0
2713,0
11561,1
9668,0
8415,0
15893,1
10386,1
9236,0
3700,0
10709,1
3701,0
7978,0
6134,0
2209,0
2166,0
3256,0
3897,0
15563,1
7390,0
5449,0
9449,0
6267,1
13915,1
6209,1
5423,0
3820,0
10100,1
3355,0
15088,1
10003,1
999,0
10612,1
323,0
4322,0
6837,0
14972,1
9246,0
5246,0
4761,0
4478,0
6795,0
889,0
708,0
15267,1
10193,1
10492,1
3837,0
8718,1
9676,0
14028,1
6838,0
8809,0
7767,1
14320,1
1058,0
927,0
7217,0
2234,1
680,0
12510,1
9372,0
7383,1
2779,0
13769,1
10046,1
12379,1
3664,0
11190,1
3565,0
3429,1
238,1
12627,1
13119,1
3450,0
10000,1
8045,0
10991,1
6958,0
2629,1
2134,0
3697,0
5299,0
1139,0
12251,1
12711,1
14527,1
1596,0
7399,0
6796,0
1510,0
9135,1
13404,1
10543,1
1955,1
1035,0
15060,1
11503,1
15531,1
13009,1
5089,0
15341,1
2627,0
692,0
14591,1
3375,1
5267,0
7965,1
7109,0
11470,1
5596,1
1754,0
405,0
4104,1
12694,1
12468,1
2822,0
5972,1
15033,1
12511,1
13996,1
10361,1
8418,0
7375,0
14443,1
5892,0
4521,0
2928,1
6240,0
7797,0
540,0
2593,0
14906,1
7666,0
5486,0
10279,1
8040,0
11458,1
5143,1
1893,0
2378,0
8738,0
13184,1
12364,1
582,0
6015,0
3041,0
13875,1
12744,1
15340,1
11762,1
9876,0
4407,0
8698,0
11970,1
15156,1
11100,1
5380,0
1494,0
1720,0
2048,0
110,0
14635,1
9470,0
10943,1
9492,1
4576,0
8141,0
15417,1
10027,1
13799,1
99,0
5119,0
13507,1
2923,0
284,0
9851,0
328,0
5594,0
5013,1
6585,0
11044,1
9965,0
4960,0
13124,1
10744,1
7129,0
5368,1
10185,1
3718,0
15099,1
7384,0
7261,0
6412,1
618,0
10391,1
4107,1
4691,0
8129,0
337,0
9399,0
4897,0
4168,0
602,0
15210,1
12066,1
10627,1
9531,0
1255,0
198,0
5649,0
9657,0
4841,1
1285,0
11308,1
7726,0
4377,1
15631,1
3107,1
2650,0
11993,1
2192,0
970,0
15154,1
15014,1
5577,0
1419,0
2013,0
11886,1
2667,0
11389,1
14404,1
5164,0
10095,1
2066,0
13405,1
2029,0
14184,1
12872,1
2570,0
14701,1
14426,1
5394,0
3842,0
15640,1
8721,0
9200,0
2401,0
11804,1
14871,1
12177,1
2832,0
1459,1
13822,1
10420,1
14896,1
8370,0
2147,0
9717,0
7948,0
10218,1
9866,0
8845,0
14149,1
6308,1
11675,1
3032,1
15694,1
10474,1
15257,1
5037,0
15127,1
431,0
14447,1
5322,0
12769,1
8067,0
3904,0
15291,1
6612,0
5633,0
936,1
15224,1
2720,1
10774,1
443,0
881,1
13386,1
7025,1
15268,1
9056,1
8212,1
2544,0
3112,1
10040,1
12900,1
13328,1
9745,0
585,1
11022,1
1608,0
1503,1
13225,1
240,0
569,0
13761,1
9208,0
11782,1
13391,1
4801,0
3963,0
7241,0
5895,0
13946,1
15249,1
11270,1
14537,1
2069,0
4858,0
4473,0
9627,0
12002,1
15415,1
10257,1
12084,1
3144,0
5289,0
10938,1
3348,0
15163,1
12935,1
3919,0
580,0
8317,0
9418,0
13666,1
15091,1
10276,1
15443,1
14839,1
13821,1
1772,0
2812,0
8866,0
